題目ID,題目,答案,選項1,選項2,選項3,選項4,
1,「老」拼音是什麼？,1,lǎo,láo,lào,lao,
2,「書」拼音是什麼？,2,shu,shū,shù,shǔ,
3,「天」拼音是什麼？,4,tiāng,tián,tiǎn,tiān,
4,「日」拼音是什麼？,3,rǐ,rī,rì,ri,
5,「坐」拼音是什麼？,2,zuǒ,zuò,zuō,zuó,
6,「冷」拼音是什麼？,3,lěn,léng,lěng,lèng,
7,「吃」拼音是什麼？,2,cī,chī,chí,chǐ,
8,「七」拼音是什麼？,4,qí,qǐ,qi,qī,
9,「八」拼音是什麼？,1,bā,bǎ,ba,bà,
10,「咖啡」拼音是什麼？,1,kāfēi,kǎfēi,káfēi,kàfēi,
11,「地方」拼音是什麼？,2,dífāng,dìfāng,dìfǎng,dīfāng,
12,「意思」拼音是什麼？,4,yísi,yìshi,yisi,yìsi,
13,「說話」拼音是什麼？,4,suōhuà,shuohuà,shuōhuá,shuōhuà,
14,「知道」拼音是什麼？,1,zhīdào,zhǐdào,zhhīdào,zhidào,
15,「明天」拼音是什麼？,2,mingtiān,míngtiān,mǐngtiān,míngtiǎn,
16,「手機」拼音是什麼？,2,shoujī,shǒujī,shóujī,shōujī,
17,「考試」拼音是什麼？,3,kàoshì,kaoshì,kǎoshì,kǎoshǐ,
18,「晚餐」拼音是什麼？,2,wǎncān,wǎncān,wǎncǎn,wǎncān,
19,「鞋子」拼音是什麼？,3,xièzi,xiézi,xiézi,xiezi,
20,「星期一」拼音是什麼？,3,xīngqìyī,xīngqīyī,xīngqíyī,xīngqiyī,
21,「右邊」拼音是什麼？,3,yòubiàn,youbiān,yòubiān,yǒubiān,
22,「英文」拼音是什麼？,2,yīngwēn,yīngwén,yíngwén,yingwén,
23,「一點點」拼音是什麼？,1,yìdiǎndiǎn,yìdiǎndian,yidiǎndiǎn,yìdiāndiǎn,
24,「病」拼音是什麼？,1,bìng,bīng,bǐng,bing,
25,「萬」拼音是什麼？,4,wan,wān,wǎn,wàn,
26,「都」拼音是什麼？,1,dōu,dòu,dóu,dǒu,
27,「五」拼音是什麼？,4,wu,wù,wū,wǔ,
28,「好」拼音是什麼？,3,hào,hao,hǎo,hāo,
29,「花」拼音是什麼？,2,huà,huā,huǎ,hua,
30,「老師」拼音是什麼？,4,lǎoshì,lǎoshi,lǎosī,lǎoshī,
31,「因為」拼音是什麼？,1,yīnwèi,yìnwèi,yīnwěi,yínwèi,
32,「天氣」拼音是什麼？,3,tiánqì,tiānqī,tiānqì,tiànqì,
33,「所以」拼音是什麼？,3,shuǒyǐ,suǒyi,suǒyǐ,suoyǐ,
34,「家人」拼音是什麼？,3,jiāren,jiàrén,jiārén,jiǎrén,
35,「耳朵」拼音是什麼？,2,èrduo,ěrduo,érduo,ērduo,
36,「女兒」拼音是什麼？,4,nǚèr,nüér,nǜér,nǚér,
37,「吃飯」拼音是什麼？,1,chīfàn,chīfān,chhīfàn,cīfàn,
38,「下雨」拼音是什麼？,4,xiàyù,xiáyǔ,xiàyú,xiàyǔ,
39,「同學」拼音是什麼？,4,tóngxuē,tóngxuě,tongxué,tóngxué,
40,「公車」拼音是什麼？,2,gōnchē,gōngchē,gōngchhē,góngchē,
41,「下課」拼音是什麼？,3,xiakè,xiákè,xiàkè,xiǎkè,
42,「有時候」拼音是什麼？,3,yǒusíhòu,yǒushíhóu,yǒushíhòu,yòushíhòu,
43,「門口」拼音是什麼？,3,méngkǒu,ménkou,ménkǒu,ménkōu,
44,「以後」拼音是什麼？,3,yihòu,yǐhóu,yǐhòu,yíhòu,
45,「起床」拼音是什麼？,2,qìchuáng,qǐchuáng,qǐchuǎng,qíchuáng,
46,「長」拼音是什麼？,3,chán,chàng,cháng,chǎng,
47,「累」拼音是什麼？,2,léi,lèi,lēi,lei,
48,「唸/念」拼音是什麼？,2,niān,niàn,niǎn,nián,
49,「和」拼音是什麼？,4,hán,hàn,hàn,hàn,
50,「好」拼音是什麼？,4,hao,háo,hāo,hǎo,
51,我＿＿＿老師。,4,在,有,去,是,
52,這＿＿＿我媽媽。,1,是,叫,在,有,
53,你是哪國＿＿＿？,3,的,位,人,本,
54,我愛吃中國＿＿＿。,3,話,書,菜,人,
55,你叫什麼＿＿＿？,3,時候,地方,名字,意思,
56,我＿＿＿一個哥哥。,2,要,有,是,在,
57,我沒有＿＿＿。,4,是,在,叫,錢,
58,他在學校＿＿＿書。,3,喝,聽,看,說,
59,我不喜歡喝＿＿＿。,3,手機,衣服,咖啡,作業,
60,你家有幾＿＿＿人？,4,本,個,位,口,
61,我有三＿＿＿書。,3,口,個,本,位,
62,這＿＿＿手機很貴。,3,本,位,支,個,
63,我朋友＿＿＿二十歲。,1,今年,明天,今天,昨天,
64,明天是星期＿＿＿？,2,什麼,幾,誰,哪,
65,現在＿＿＿點了？,2,誰,幾,哪,什麼,
66,我喜歡學＿＿＿。,2,名字,中文,作業,地方,
67,你去＿＿＿買東西？,1,哪裡,誰,幾點,什麼,
68,老師不在＿＿＿。,3,東西,名字,學校,意思,
69,今天天氣很＿＿＿。,2,大,熱,會,多,
70,這杯水很＿＿＿。,2,看,冷,聽,好,
71,我不＿＿＿說英文。,3,是,有,會,在,
72,你想喝什麼＿＿＿？,2,本,水,書,人,
73,我們去喝茶＿＿＿。,2,的,吧,呢,嗎,
74,你知道他＿＿＿？,1,嗎,吧,呢,的,
75,你家在哪＿＿＿？,4,個,的,嗎,裡,
76,我＿＿媽媽很漂亮。,3,是,要,的,不,
77,這本書是誰＿＿＿？,4,呢,嗎,吧,的,
78,我＿＿＿錢。,1,沒,不,是,好,
79,請問現在幾＿＿＿？,3,號,歲,點,分,
80,他叫什麼＿＿＿？,1,名字,天氣,功課,地方,
81,我買了三＿＿＿衣服。,4,個,位,本,件,
82,你有幾＿＿＿書？,2,位,本,個,口,
83,你想喝咖啡＿＿＿＿茶？,2,是,還是,可能,也,
84,你說得太＿＿＿了。,4,多,少,大,快,
85,這件衣服太＿＿＿了。,1,大,好,懂,快,
86,我＿＿＿知道王老師。,1,不,真,很,沒,
87,今天我＿＿＿去學校。,1,沒,不,很,也,
88,我有＿＿＿台灣朋友。,4,一點,一共,一樣,一些,
89,你想吃什麼＿＿＿？,4,名字,天氣,地方,東西,
90,我不懂他的＿＿＿。,3,作業,名字,意思,地方,
91,他在家＿＿＿覺。,4,吃,看,喝,睡,
92,你的生日是幾月幾＿＿＿？,3,點,歲,號,分,
93,我姐姐＿＿＿二十歲。,1,今年,明天,昨天,今天,
94,誰在＿＿＿？,4,意思,什麼,功課,教室,
95,你想＿＿＿什麼？,3,是,在,買,有,
96,這裡有一＿＿＿人。,3,口,本,個,位,
97,我不認識＿＿＿。,4,什麼,那,這,他,
98,你的中文＿＿＿好。,3,嗎,呢,真,吧,
99,我＿＿＿去公園。,1,想,在,是,有,
100,你會寫多少個＿＿＿？,3,位,口,字,本,
101,A：你好嗎？B：＿＿＿＿＿,3,你是老師嗎？,我是學生。,我很好，謝謝。,這是我的書。,
102,A：你姓什麼？B：＿＿＿＿＿,1,我姓王。,我叫王明。,他是我的朋友。,你好。,
103,A：你叫什麼名字？B：＿＿＿＿＿,4,他的名字很好。,我是美國人。,誰是老師？,我叫李大衛。,
104,A：謝謝你！B：＿＿＿＿＿,2,對不起。,不客氣。,你好。,我知道。,
105,A：你是哪國人？B：＿＿＿＿＿,2,他是中國人。,我是台灣人。,誰是美國人？,他們很好。,
106,A：他是誰？B：＿＿＿＿＿,1,他是我的同學。,我不認識你。,那是我的手機。,他在學校。,
107,A：對不起。B：＿＿＿＿＿,3,謝謝。,很好。,沒關係。,我不是。,
108,A：請問現在幾點？B：＿＿＿＿＿,4,今天星期五。,我有三點。,他不在家。,現在三點十分。,
109,A：你家有幾個人？B：＿＿＿＿＿,1,我家有四個人。,他家在學校。,我有一個朋友。,我今年十歲。,
110,A：那是你的書嗎？B：＿＿＿＿＿,2,我有一本書。,是的，那是我的書。,誰有書？,這是你的書。,
111,A：再見！B：＿＿＿＿＿,3,你好！,對不起。,再見！,謝謝。,
112,A：你今年幾歲？B：＿＿＿＿＿,4,今天幾號？,我二十個。,我不認識。,我今年二十歲。,
113,A：你喜歡喝茶嗎？B：＿＿＿＿＿,1,我不喜歡喝茶。,茶很好喝嗎？,他要喝咖啡。,這不是茶。,
114,A：你的手機在哪裡？B：＿＿＿＿＿,2,他有手機。,我的手機在桌子上。,那是誰的手機？,我不買手機。,
115,A：你想吃什麼？B：＿＿＿＿＿,3,我不想去。,菜很好吃。,我想吃中國菜。,誰要吃？,
116,A：今天是星期幾？B：＿＿＿＿＿,4,今天是五號。,明天是星期四。,現在兩點。,今天是星期三。,
117,A：請問教室在哪裡？B：＿＿＿＿＿,1,教室在左邊。,教室很大。,我要去教室。,誰在教室？,
118,A：你在做什麼？B：＿＿＿＿＿,2,這是我的功課。,我在寫功課。,他不寫功課。,功課很多。,
119,A：你喜歡不喜歡麵包？B：＿＿＿＿＿,3,麵包很好吃。,麵包很貴。,我不喜歡。,他喜歡。,
120,A：你要買什麼？B：＿＿＿＿＿,4,這裡有書。,書很貴。,誰買書？,我要買兩本書。,
121,A：你去哪裡？B：＿＿＿＿＿,1,我去餐廳吃飯。,餐廳很大。,誰去餐廳？,他在餐廳。,
122,A：這件衣服多少錢？B：＿＿＿＿＿,2,衣服很漂亮。,這件衣服五百塊。,他買衣服。,我不喜歡衣服。,
123,A：你明天有空嗎？B：＿＿＿＿＿,3,今天沒空。,誰有空？,我明天下午有空。,明天是星期六。,
124,A：你會說中文嗎？B：＿＿＿＿＿,4,中文很難。,誰說中文？,他在學中文。,我會說一點中文。,
125,A：你要喝水還是喝咖啡？B：＿＿＿＿＿,1,我想喝水。,水和咖啡。,他不喝咖啡。,咖啡很好喝。,
126,A：他在家嗎？B：＿＿＿＿＿,2,我在家。,他不在家，他在學校。,誰在家？,他的家很大。,
127,A：那是誰的手機？B：＿＿＿＿＿,3,手機在哪裡？,我有手機。,那是老師的手機。,這是他的。,
128,A：昨天天氣怎麼樣？B：＿＿＿＿＿,4,今天很熱。,我不喜歡冷。,天氣在哪裡？,昨天天氣很冷。,
129,A：你的生日是幾月幾號？B：＿＿＿＿＿,1,我的生日是十月五號。,今天是十月五號。,他幾歲了？,我在十月出生。,
130,A：你為什麼不去學校？B：＿＿＿＿＿,2,我去學校。,因為我今天生病了。,誰在學校？,學校在那兒。,
131,A：你怎麼去學校？B：＿＿＿＿＿,3,學校很遠。,我不在學校。,我坐公車去學校。,誰去學校？,
132,A：你有幾個台灣朋友？B：＿＿＿＿＿,4,他是台灣人。,朋友很多。,誰是朋友？,我有三個台灣朋友。,
133,A：你覺得中文怎麼樣？B：＿＿＿＿＿,1,我覺得不難。,中文是什麼？,他在學中文。,誰覺得難？,
134,A：請問這裡有人嗎？B：＿＿＿＿＿,2,他是誰？,這裡沒有人，請坐。,我坐在這裡。,誰在那裡？,
135,A：你要吃水果嗎？B：＿＿＿＿＿,3,水果很好吃。,誰買水果？,好，謝謝你。,我有水果。,
136,A：這支筆是你的嗎？B：＿＿＿＿＿,4,我有一支筆。,筆在哪裡？,這是筆。,不是，那是他的。,
137,A：我覺得這碗飯有一點貴。B：＿＿＿＿＿,1,真的嗎？,沒關係。,很有意思。,不錯。,
138,A：你想要哪一個？B：＿＿＿＿＿,2,有幾個？,我想要這一個。,誰要買？,那是我的。,
139,A：你家在哪裡？B：＿＿＿＿＿,3,公園在哪裡？,他家很大。,我家在公園旁邊。,我要去公園。,
140,A：他幾點回來？B：＿＿＿＿＿,4,現在五點。,他不回來。,誰回來了？,他下午五點回來。,
141,A：這杯咖啡多少錢？B：＿＿＿＿＿,1,一杯八十塊。,咖啡很熱。,我想喝咖啡。,誰買咖啡？,
142,A：外面在下雨嗎？B：＿＿＿＿＿,2,我不喜歡雨。,是的，在下大雨。,誰有雨？,下雨了。,
143,A：你會做飯嗎？B：＿＿＿＿＿,3,飯很好吃。,誰在吃飯？,我不會，我姐姐會。,我想做飯。,
144,A：你喜歡什麼怎麼樣的衣服？B：＿＿＿＿＿,4,衣服很貴。,誰買衣服？,我有衣服。,我喜歡紅色的。,
145,A：我們去買東西吧！B：＿＿＿＿＿,1,好，走吧。,餐廳在哪裡。,誰去餐廳？,買什麼東西？,
146,A：請問王先生在嗎？B：＿＿＿＿＿,2,我是王先生。,他在學校。,誰在學校？,王先生很好。,
147,A：你喜歡做什麼？B：＿＿＿＿＿,3,運動很好。,誰運動？,我喜歡運動。,我會很多運動。,
148,A：這裡可以喝水嗎？B：＿＿＿＿＿,4,他在喝水。,水在哪裡？,誰要喝水？,對不起，這裡不可以。,
149,A：你怎麼了？不舒服嗎？B：＿＿＿＿＿,1,是的，我頭很痛。,誰不舒服？,他去醫院了。,舒服。,
150,A：祝你生日快樂！B：＿＿＿＿＿,2,不客氣。,謝謝！,生日快樂。,誰的生日？,
151,我有兩個哥哥，沒有姊姊。誰有兩個哥哥？,1,我,哥哥,姊姊,老師,
152,這是老師的手機。誰有手機？,2,我,老師,學生,哥哥,
153,今天星期五，明天他去學校。他什麼時候去學校？,3,今天,昨天,明天,星期五,
154,姊姊二十歲，妹妹十歲。,妹妹幾歲？,4,五歲,二十歲,十五歲,十歲
155,我喝水，不喝咖啡。,他喝什麼？,2,咖啡,水,茶,奶茶
156,這裡有三本書，那是我的。,這裡有幾本書？,1,三本,一本,二本,五本
157,爸爸在學校，他在學校。,爸爸在哪裡？,1,學校,家裡,門口,這裡
158,老師姓王，不姓李。,老師姓什麼？,1,姓王,姓李,姓張,姓陳
159,我今天想吃麵，不想吃飯。,他想吃什麼？,4,水果,飯,菜,麵
160,這裡有一百塊，那裡有五十塊。,這裡有多少錢？,2,五十塊,一百塊,八十塊,十塊
161,弟弟不看書，他在寫字。,弟弟在做什麼？,3,看書,喝水,寫字,睡覺
162,昨天很冷，今天很熱。,今天天氣怎麼樣？,4,很冷,不冷,不熱,很熱
163,我有三個朋友，他們是學生。,他有幾個朋友？,1,三個,一個,二個,四個
164,這是我的書，那是他的書。,誰有書？,2,我,他們都有,他,老師
165,媽媽去買衣服，他在那裡。,媽媽在哪裡？,3,學校,家裡,買衣服的地方,門口
166,他的名字叫大衛，他是美國人。,他叫什麼名字？,1,大衛,王明,李英,老師
167,現在是三點十分。,現在幾點？,4,二點十分,三點五分,四點,三點十分
168,我想去買水果。,他想買什麼？,2,衣服,水果,手機,書
169,這裡沒有人，請坐。,這裡有人嗎？,3,有一個人,有兩個人,沒有人,很多人
170,哥哥在喝茶，妹妹在喝水。,誰在喝茶？,1,哥哥,妹妹,爸爸,媽媽
171,我的家在學校旁邊。,他的家在哪裡？,4,左邊,右邊,後面,學校旁邊
172,他不看我，我不看他。,他們在看嗎？,2,在看,不看,很好,很高興
173,今天是他的生日，他很高興。,他為什麼很高興？,3,因為去學校,因為買東西,因為生日,因為喝水
174,那個東西很貴，我不買。,他買不買？,1,不買,買,買兩個,買三個
175,這裡有兩位老師，一位學生。,這裡有幾個學生？,2,二個,一個,三個,沒有
176,昨天的菜很好吃，我很喜歡。,昨天的菜怎麼樣？,4,不好吃,太貴,太冷,很好吃
177,他姓李，他是中文老師。,他教什麼？,3,英文,日文,中文,韓文
178,我們六點吃飯，好嗎？,他們幾點吃飯？,1,六點,五點,七點,八點
179,這支筆十塊，那支筆五塊。,這支筆多少錢？,2,五塊,十塊,二十塊,十五塊
180,他在睡覺，不在客廳。,他在做什麼？,3,看書,寫字,睡覺,吃飯
181,我有五個水果，請吃一個。,他現在有幾個水果？,4,一個,二個,三個,五個
182,今天星期一，我不去學校。,他今天去學校嗎？,2,去,不去,不知道,明天去
183,這裡的東西很便宜。,這裡的東西貴嗎？,3,很貴,一點貴,不貴,非常貴
184,我想喝熱咖啡，不喝冷的。,他想喝什麼樣的咖啡？,1,熱的,冷的,大的,小的
185,這件衣服太大，那件太小。,衣服合適嗎？,4,很好看,很便宜,很貴,不合適
186,老師在那裡等你。,老師在哪裡？,2,在這兒,在那裡,在家,在學校
187,他說中文說得很慢。,他說得快嗎？,3,很快,非常快,不快,很好
188,門口有一個人，他是誰？,門口有人嗎？,1,有一個,沒有,有二個,很多
189,我今天不舒服，不去學校。,他去哪裡？,4,去學校,去買東西,去公司,他在家
190,這是王先生的家，請進。,誰住在這？,2,我,王先生,老師,同學
191,姊姊去買東西，不在家。,姊姊在哪裡？,3,在家,在學校,不在家,在公司
192,我想問一個問題。,他要做什麼？,1,問問題,買東西,吃飯,睡覺
193,那個字我不認識，怎麼讀？,他想知道什麼？,2,怎麼寫,怎麼讀,是什麼,誰寫的
194,他是我最好的朋友。,「他」是誰？,4,老師,同學,姊姊,朋友
195,這裡有一點冷，我要去房間裡。,他為什麼要去房間裡？,1,太冷,太熱,有人來,太大聲
196,我現在很忙，沒有時間。,他現在有空嗎？,2,有空,沒空,不知道,一點空
197,他在找他的手機。,他的手機在哪裡？,4,在桌上,在學校,在家裡,不知道
198,這是你的書，請拿。,書是誰的？,1,你的,我的,他的,老師的
199,那個地方很遠，我們坐車。,他們怎麼去？,4,走路,坐船,坐飛機,坐車
200,謝謝你的水果，很好吃。,水果怎麼樣？,2,不好吃,很好吃,很貴,很便宜
